,CD8_T_cell,M0_macrophage,M1_macrophage,M2_macrophage,exhausted_T_cell,naive_T_cell,tumor,Total de agentes
rule6_vs_rule8_HM2.0_0.5_rep9,21.0,1.0,18.0,233.0,524.0,45.0,1225.0,2067.0
rule6_vs_rule8_HM2.0_2.0_rep1,35.0,1.0,14.0,225.0,517.0,42.0,1265.0,2099.0
rule6_vs_rule8_HM2.0_2.0_rep10,42.0,1.0,21.0,217.0,560.0,56.0,1204.0,2101.0
rule6_vs_rule8_HM2.0_2.0_rep2,22.0,1.0,23.0,215.0,604.0,46.0,1200.0,2111.0
rule6_vs_rule8_HM2.0_2.0_rep3,34.0,1.0,20.0,218.0,542.0,44.0,1236.0,2095.0
rule6_vs_rule8_HM2.0_2.0_rep4,35.0,1.0,22.0,234.0,552.0,46.0,1239.0,2129.0
rule6_vs_rule8_HM5.0_0.2_rep1,28.0,1.0,17.0,234.0,569.0,45.0,1149.0,2043.0
rule6_vs_rule8_HM5.0_0.2_rep10,39.0,1.0,18.0,227.0,562.0,39.0,1224.0,2110.0
rule6_vs_rule8_HM5.0_0.2_rep2,25.0,1.0,12.0,227.0,530.0,67.0,1256.0,2118.0
rule6_vs_rule8_HM5.0_0.2_rep3,31.0,1.0,25.0,214.0,654.0,28.0,1137.0,2090.0
rule6_vs_rule8_HM5.0_0.2_rep4,27.0,1.0,17.0,215.0,600.0,54.0,1199.0,2113.0
rule6_vs_rule8_HM5.0_0.2_rep5,33.0,1.0,14.0,231.0,541.0,46.0,1219.0,2085.0
rule6_vs_rule8_HM5.0_0.2_rep6,34.0,1.0,25.0,223.0,573.0,43.0,1190.0,2089.0
rule6_vs_rule8_HM5.0_0.2_rep7,33.0,1.0,19.0,231.0,588.0,33.0,1161.0,2066.0
rule6_vs_rule8_HM5.0_0.2_rep8,39.0,1.0,25.0,221.0,490.0,48.0,1275.0,2099.0
rule6_vs_rule8_HM5.0_0.2_rep9,33.0,1.0,20.0,248.0,622.0,57.0,1159.0,2140.0
rule6_vs_rule8_HM5.0_0.5_rep1,28.0,1.0,21.0,217.0,565.0,46.0,1235.0,2113.0
rule6_vs_rule8_HM5.0_0.5_rep10,25.0,1.0,17.0,236.0,550.0,50.0,1239.0,2118.0
rule6_vs_rule8_HM5.0_0.5_rep2,20.0,1.0,21.0,233.0,571.0,41.0,1208.0,2095.0
rule6_vs_rule8_HM5.0_0.5_rep3,34.0,1.0,25.0,243.0,569.0,37.0,1181.0,2090.0
rule6_vs_rule8_HM5.0_0.5_rep4,31.0,1.0,20.0,217.0,548.0,53.0,1243.0,2113.0
rule6_vs_rule8_HM5.0_0.5_rep5,23.0,1.0,31.0,227.0,537.0,44.0,1245.0,2108.0
